home,away,home_code,away_code,home_last_wins,home_last_draws,home_last_loses,away_last_wins,away_last_draws,away_last_loses,GF,GA
Coventry,Arsenal,15,0,0,0,0,0,0,0,3,0
QPR,Aston Villa,34,1,0,0,0,0,0,0,1,4
Chelsea,Blackburn,14,4,0,0,0,0,0,0,1,2
Blackburn,Chelsea,4,14,0,0,0,0,0,0,2,1
Arsenal,Coventry,0,15,0,0,0,0,0,0,0,3
Southampton,Everton,38,18,0,0,0,0,0,0,0,2
Oldham,Ipswich,32,22,0,0,0,0,0,0,0,3
Man City,Leeds,26,23,0,0,0,0,0,0,1,1
Sheffield Weds,Liverpool,37,25,0,0,0,0,0,0,0,2
Leeds,Man City,23,26,0,0,0,0,0,0,1,1
Tottenham,Newcastle,43,29,0,0,0,0,0,0,1,0
Ipswich,Oldham,22,32,0,0,0,0,0,0,3,0
Aston Villa,QPR,1,34,0,0,0,0,0,0,4,1
Swindon,Sheffield United,42,36,0,0,0,0,0,0,1,3
Liverpool,Sheffield Weds,25,37,0,0,0,0,0,0,2,0
Everton,Southampton,18,38,0,0,0,0,0,0,2,0
Sheffield United,Swindon,36,42,0,0,0,0,0,0,3,1
Newcastle,Tottenham,29,43,0,0,0,0,0,0,0,1
Wimbledon,West Ham,48,46,0,0,0,0,0,0,2,0
West Ham,Wimbledon,46,48,0,0,0,0,0,0,0,2
Norwich,Man United,30,27,0,0,0,0,0,0,0,2
Man United,Norwich,27,30,0,0,0,0,0,0,2,0
Tottenham,Arsenal,43,0,1,0,0,1,0,0,0,1
Arsenal,Tottenham,0,43,0,0,1,0,0,1,1,0
Wimbledon,Chelsea,48,14,1,0,0,1,0,0,1,1
Man City,Everton,26,18,0,1,0,0,0,1,0,1
Southampton,Ipswich,38,22,0,0,1,0,0,1,0,1
West Ham,Leeds,46,23,0,0,1,0,1,0,0,1
Everton,Man City,18,26,1,0,0,0,1,0,1,0
Ipswich,Southampton,22,38,1,0,0,1,0,0,1,0
Leeds,West Ham,23,46,0,1,0,1,0,0,1,0
Chelsea,Wimbledon,14,48,0,0,1,0,0,1,1,1
Sheffield Weds,Aston Villa,37,1,0,0,1,0,0,1,0,0
Norwich,Blackburn,30,4,0,0,1,0,0,1,3,2
Newcastle,Coventry,29,15,0,0,1,0,0,1,1,2
QPR,Liverpool,34,25,0,0,1,0,0,1,1,3
Sheffield United,Man United,36,27,1,0,0,0,0,1,0,3
Coventry,Newcastle,15,29,1,0,0,1,0,0,2,1
Blackburn,Norwich,4,30,1,0,0,1,0,0,2,3
Swindon,Oldham,42,32,0,0,1,1,0,0,0,1
Liverpool,QPR,25,34,1,0,0,1,0,0,3,1
Man United,Sheffield United,27,36,1,0,0,0,0,1,3,0
Aston Villa,Sheffield Weds,1,37,1,0,0,1,0,0,0,0
Oldham,Swindon,32,42,0,0,1,1,0,0,1,0
Sheffield Weds,Arsenal,37,0,0,1,1,1,0,1,0,1
Wimbledon,Aston Villa,48,1,1,1,0,0,1,1,2,2
Oldham,Blackburn,32,4,1,0,1,1,0,1,0,1
Ipswich,Chelsea,22,14,2,0,0,1,1,0,1,0
West Ham,Coventry,46,15,0,0,2,0,0,2,1,1
Sheffield United,Everton,36,18,1,0,1,0,0,2,2,4
Chelsea,Ipswich,14,22,0,1,1,0,0,2,0,1
Norwich,Leeds,30,23,1,0,1,0,1,1,4,0
Tottenham,Man City,43,26,1,0,1,1,1,0,1,0
Newcastle,Man United,29,27,0,0,2,0,0,2,1,1
Man United,Newcastle,27,29,2,0,0,2,0,0,1,1
Leeds,Norwich,23,30,1,1,0,1,0,1,0,4
Blackburn,Oldham,4,32,1,0,1,1,0,1,1,0
Southampton,QPR,38,34,0,0,2,2,0,0,1,2
Everton,Sheffield United,18,36,2,0,0,1,0,1,4,2
Arsenal,Sheffield Weds,0,37,1,0,1,1,1,0,1,0
QPR,Southampton,34,38,0,0,2,2,0,0,2,1
Man City,Tottenham,26,43,0,1,1,1,0,1,0,1
Coventry,West Ham,15,46,2,0,0,2,0,0,1,1
Aston Villa,Wimbledon,1,48,1,1,0,0,1,1,2,2
Swindon,Liverpool,42,25,0,0,2,0,0,2,0,5
Liverpool,Swindon,25,42,2,0,0,2,0,0,5,0
Man United,Aston Villa,27,1,2,1,0,0,2,1,2,1
Aston Villa,Man United,1,27,1,2,0,0,1,2,1,2
Leeds,Arsenal,23,0,1,1,1,1,0,2,1,2
Man City,Blackburn,26,4,0,1,2,1,0,2,0,2
Oldham,Coventry,32,15,1,0,2,0,1,2,3,3
Arsenal,Leeds,0,23,2,0,1,1,1,1,2,1
Blackburn,Man City,4,26,2,0,1,2,1,0,2,0
Coventry,Oldham,15,32,2,1,0,2,0,1,3,3
Wimbledon,Sheffield United,48,36,1,2,0,2,0,1,1,2
Sheffield United,Wimbledon,36,48,1,0,2,0,2,1,2,1
QPR,Chelsea,34,14,1,0,2,2,1,0,0,2
Newcastle,Everton,29,18,0,1,2,0,0,3,1,0
Norwich,Ipswich,30,22,2,0,1,0,0,3,1,0
Tottenham,Liverpool,43,25,2,0,1,0,0,3,2,1
Everton,Newcastle,18,29,3,0,0,2,1,0,0,1
Ipswich,Norwich,22,30,3,0,0,1,0,2,0,1
Chelsea,QPR,14,34,0,1,2,2,0,1,2,0
West Ham,Sheffield Weds,46,37,0,1,2,2,1,0,2,0
Swindon,Southampton,42,38,0,0,3,3,0,0,1,5
Southampton,Swindon,38,42,0,0,3,3,0,0,5,1
Liverpool,Tottenham,25,43,3,0,0,1,0,2,1,2
Sheffield Weds,West Ham,37,46,0,1,2,2,1,0,0,2
Man City,Coventry,26,15,0,1,3,0,2,2,1,1
Coventry,Man City,15,26,2,2,0,3,1,0,1,1
Everton,Arsenal,18,0,3,0,1,1,0,3,0,2
Tottenham,Aston Villa,43,1,3,0,1,1,2,1,0,1
Sheffield Weds,Chelsea,37,14,0,1,3,2,1,1,1,1
Arsenal,Everton,0,18,3,0,1,1,0,3,2,0
Sheffield United,Ipswich,36,22,2,0,2,1,0,3,1,1
Liverpool,Leeds,25,23,3,0,1,2,1,1,2,0
Leeds,Liverpool,23,25,1,1,2,1,0,3,0,2
Southampton,Man United,38,27,1,0,3,0,1,3,1,3
Swindon,Norwich,42,30,0,0,4,1,0,3,0,0
Wimbledon,Oldham,48,32,1,2,1,2,1,1,1,1
West Ham,QPR,46,34,1,1,2,3,0,1,0,4
Ipswich,Sheffield United,22,36,3,0,1,2,0,2,1,1
Chelsea,Sheffield Weds,14,37,1,1,2,3,1,0,1,1
Man United,Southampton,27,38,3,1,0,3,0,1,3,1
Norwich,Swindon,30,42,3,0,1,4,0,0,0,0
Aston Villa,Tottenham,1,43,1,2,1,1,0,3,1,0
QPR,West Ham,34,46,1,0,3,2,1,1,4,0
Oldham,Wimbledon,32,48,1,1,2,1,2,1,1,1
Newcastle,Blackburn,29,4,1,1,2,1,0,3,1,1
Blackburn,Newcastle,4,29,3,0,1,2,1,1,1,1
Oldham,Leeds,32,23,1,2,2,3,1,1,0,1
Leeds,Oldham,23,32,1,1,3,2,2,1,1,0
Everton,Aston Villa,18,1,3,0,2,1,2,2,0,1
Aston Villa,Everton,1,18,2,2,1,2,0,3,1,0
Newcastle,Ipswich,29,22,1,2,2,1,1,3,1,1
Ipswich,Newcastle,22,29,3,1,1,2,2,1,1,1
Wimbledon,Southampton,48,38,1,3,1,4,0,1,1,0
Southampton,Wimbledon,38,48,1,0,4,1,3,1,0,1
Blackburn,Arsenal,4,0,3,1,1,1,0,4,1,1
Arsenal,Blackburn,0,4,4,0,1,1,1,3,1,1
Tottenham,Chelsea,43,14,3,0,2,2,2,1,1,1
Liverpool,Coventry,25,15,4,0,1,0,3,2,0,1
Coventry,Liverpool,15,25,2,3,0,1,0,4,1,0
Swindon,Man City,42,26,0,1,4,3,2,0,1,3
West Ham,Man United,46,27,1,1,3,0,1,4,0,3
Sheffield Weds,Norwich,37,30,0,2,3,1,1,3,3,3
Sheffield United,QPR,36,34,2,1,2,3,0,2,1,2
QPR,Sheffield United,34,36,2,0,3,2,1,2,2,1
Norwich,Sheffield Weds,30,37,3,1,1,3,2,0,3,3
Man City,Swindon,26,42,0,2,3,4,1,0,3,1
Chelsea,Tottenham,14,43,1,2,2,2,0,3,1,1
Man United,West Ham,27,46,4,1,0,3,1,1,3,0
Ipswich,Arsenal,22,0,2,2,1,0,1,4,0,4
Coventry,Aston Villa,15,1,2,3,0,1,2,2,0,0
Man United,Chelsea,27,14,4,1,0,1,3,1,0,1
Aston Villa,Coventry,1,15,2,2,1,0,3,2,0,0
Oldham,Everton,32,18,1,2,2,3,0,2,0,1
Arsenal,Ipswich,0,22,4,1,0,1,2,2,4,0
Southampton,Leeds,38,23,1,0,4,3,0,2,0,2
QPR,Man City,34,26,3,0,2,3,1,1,0,3
Chelsea,Man United,14,27,1,3,1,0,1,4,1,0
Wimbledon,Norwich,48,30,1,3,1,0,2,3,1,0
Everton,Oldham,18,32,2,0,3,2,2,1,1,0
Man City,QPR,26,34,1,1,3,2,0,3,3,0
Tottenham,Sheffield United,43,36,2,1,2,3,1,1,2,2
Leeds,Southampton,23,38,2,0,3,4,0,1,2,0
West Ham,Swindon,46,42,1,1,3,4,1,0,0,0
Sheffield United,Tottenham,36,43,1,1,3,2,1,2,2,2
Swindon,West Ham,42,46,0,1,4,3,1,1,0,0
Norwich,Wimbledon,30,48,3,2,0,1,3,1,0,1
Liverpool,Blackburn,25,4,3,0,2,1,2,2,0,1
Blackburn,Liverpool,4,25,2,2,1,2,0,3,1,0
Sheffield Weds,Newcastle,37,29,0,3,2,1,3,1,2,4
Newcastle,Sheffield Weds,29,37,1,3,1,2,3,0,4,2
Ipswich,Aston Villa,22,1,1,2,2,1,2,2,1,2
West Ham,Blackburn,46,4,1,2,2,0,2,3,2,0
Coventry,Chelsea,15,14,1,4,0,1,2,2,1,1
Chelsea,Coventry,14,15,2,2,1,0,4,1,1,1
Liverpool,Everton,25,18,2,0,3,3,0,2,0,2
Aston Villa,Ipswich,1,22,2,2,1,2,2,1,2,1
Sheffield United,Leeds,36,23,1,2,2,3,0,2,1,2
Everton,Liverpool,18,25,2,0,3,3,0,2,2,0
Swindon,Newcastle,42,29,0,2,3,0,3,2,2,2
QPR,Norwich,34,30,3,0,2,1,2,2,2,2
Tottenham,Oldham,43,32,2,2,1,3,2,0,5,0
Norwich,QPR,30,34,2,2,1,2,0,3,2,2
Leeds,Sheffield United,23,36,2,0,3,2,2,1,2,1
Southampton,Sheffield Weds,38,37,1,0,4,3,2,0,0,2
Sheffield Weds,Southampton,37,38,0,2,3,4,0,1,2,0
Newcastle,Swindon,29,42,2,3,0,3,2,0,2,2
Oldham,Tottenham,32,43,0,2,3,1,2,2,0,5
Blackburn,West Ham,4,46,3,2,0,2,2,1,0,2
Man United,Arsenal,27,0,3,1,1,0,1,4,1,0
Arsenal,Man United,0,27,4,1,0,1,1,3,0,1
Wimbledon,Man City,48,26,2,2,1,2,1,2,1,0
Man City,Wimbledon,26,48,2,1,2,1,2,2,0,1
Southampton,Arsenal,38,0,1,0,4,1,1,3,0,1
Oldham,Aston Villa,32,1,0,2,3,1,1,3,1,1
Sheffield Weds,Blackburn,37,4,1,2,2,1,2,2,1,1
Liverpool,Chelsea,25,14,1,0,4,0,3,2,0,1
Leeds,Coventry,23,15,3,0,2,0,4,1,2,0
Norwich,Everton,30,18,1,3,1,3,0,2,5,1
Coventry,Leeds,15,23,1,4,0,2,0,3,0,2
Chelsea,Liverpool,14,25,2,3,0,4,0,1,1,0
Sheffield United,Man City,36,26,1,2,2,2,1,2,0,1
Swindon,Man United,42,27,0,3,2,1,0,4,2,4
West Ham,Newcastle,46,29,2,1,2,0,3,2,0,2
Everton,Norwich,18,30,2,0,3,1,3,1,1,5
Aston Villa,Oldham,1,32,3,1,1,3,2,0,1,1
Man City,Sheffield United,26,36,2,1,2,2,2,1,1,0
Blackburn,Sheffield Weds,4,37,2,2,1,2,2,1,1,1
Arsenal,Southampton,0,38,3,1,1,4,0,1,1,0
Man United,Swindon,27,42,4,0,1,2,3,0,4,2
Newcastle,West Ham,29,46,2,3,0,2,1,2,2,0
Tottenham,Ipswich,43,22,2,2,1,3,2,0,2,2
Ipswich,Tottenham,22,43,0,2,3,1,2,2,2,2
Wimbledon,QPR,48,34,3,1,1,2,1,2,1,1
QPR,Wimbledon,34,48,2,1,2,1,1,3,1,1
Liverpool,Arsenal,25,0,1,0,4,1,1,3,0,0
Newcastle,Aston Villa,29,1,2,3,0,0,2,3,2,0
Swindon,Blackburn,42,4,0,3,2,1,3,1,1,3
West Ham,Chelsea,46,14,1,1,3,0,3,2,1,0
Norwich,Coventry,30,15,1,3,1,1,3,1,1,0
QPR,Ipswich,34,22,2,2,1,2,3,0,3,0
Wimbledon,Leeds,48,23,3,2,0,1,0,4,0,4
Arsenal,Liverpool,0,25,3,1,1,4,0,1,0,0
Sheffield Weds,Man United,37,27,1,3,1,1,0,4,2,3
Aston Villa,Newcastle,1,29,3,2,0,0,3,2,0,2
Coventry,Norwich,15,30,1,3,1,1,3,1,0,1
Ipswich,QPR,22,34,0,3,2,1,2,2,0,3
Southampton,Sheffield United,38,36,0,0,5,3,2,0,3,3
Man United,Sheffield Weds,27,37,4,0,1,1,3,1,3,2
Sheffield United,Southampton,36,38,0,2,3,5,0,0,3,3
Blackburn,Swindon,4,42,1,3,1,2,3,0,3,1
Chelsea,West Ham,14,46,2,3,0,3,1,1,0,1
Leeds,Wimbledon,23,48,4,0,1,0,2,3,4,0
Tottenham,Everton,43,18,1,3,1,3,0,2,3,2
Everton,Tottenham,18,43,2,0,3,1,3,1,2,3
Oldham,Man City,32,26,0,2,3,1,1,3,1,1
Man City,Oldham,26,32,3,1,1,3,2,0,1,1
Man City,Arsenal,26,0,3,1,1,1,2,2,0,0
West Ham,Aston Villa,46,1,2,1,2,1,2,2,0,0
Norwich,Chelsea,30,14,2,2,1,1,2,2,2,1
Southampton,Coventry,38,15,0,1,4,2,2,1,1,1
Swindon,Everton,42,18,0,2,3,3,0,2,1,1
Oldham,Liverpool,32,25,0,2,3,4,1,0,1,2
Arsenal,Man City,0,26,2,2,1,1,1,3,0,0
Tottenham,Man United,43,27,2,3,0,1,0,4,1,2
QPR,Newcastle,34,29,2,2,1,0,2,3,2,1
Chelsea,Norwich,14,30,2,2,1,1,2,2,1,2
Liverpool,Oldham,25,32,0,1,4,3,2,0,2,1
Newcastle,QPR,29,34,3,2,0,1,2,2,1,2
Wimbledon,Sheffield Weds,48,37,3,1,1,2,2,1,2,2
Coventry,Southampton,15,38,1,2,2,4,1,0,1,1
Everton,Swindon,18,42,2,0,3,3,2,0,1,1
Man United,Tottenham,27,43,4,0,1,0,3,2,2,1
Aston Villa,West Ham,1,46,2,2,1,2,1,2,0,0
Sheffield Weds,Wimbledon,37,48,1,2,2,1,1,3,2,2
Leeds,Ipswich,23,22,5,0,0,3,2,0,0,0
Ipswich,Leeds,22,23,0,2,3,0,0,5,0,0
Sheffield United,Blackburn,36,4,0,2,3,1,2,2,0,0
Blackburn,Sheffield United,4,36,2,2,1,3,2,0,0,0
Oldham,Arsenal,32,0,0,2,3,1,2,2,0,0
Chelsea,Aston Villa,14,1,2,1,2,1,3,1,0,1
Leeds,Blackburn,23,4,4,1,0,1,2,2,3,3
Aston Villa,Chelsea,1,14,1,3,1,2,1,2,1,0
QPR,Coventry,34,15,2,2,1,2,3,0,5,1
Man United,Everton,27,18,4,0,1,2,1,2,1,0
Blackburn,Leeds,4,23,2,2,1,0,1,4,3,3
Man City,Liverpool,26,25,2,2,1,3,1,1,1,1
Liverpool,Man City,25,26,1,1,3,1,2,2,1,1
Everton,Man United,18,27,2,1,2,1,0,4,0,1
West Ham,Norwich,46,30,2,2,1,1,1,3,0,0
Arsenal,Oldham,0,32,2,2,1,3,2,0,0,0
Coventry,QPR,15,34,0,3,2,1,2,2,1,5
Sheffield Weds,Sheffield United,37,36,1,2,2,2,3,0,1,1
Sheffield United,Sheffield Weds,36,37,0,3,2,2,2,1,1,1
Tottenham,Swindon,43,42,2,2,1,2,3,0,1,1
Swindon,Tottenham,42,43,0,3,2,1,2,2,1,1
Norwich,West Ham,30,46,3,1,1,1,2,2,0,0
Southampton,Newcastle,38,29,0,2,3,1,1,3,2,1
Newcastle,Southampton,29,38,3,1,1,3,2,0,1,2
Wimbledon,Ipswich,48,22,2,2,1,3,2,0,0,2
Ipswich,Wimbledon,22,48,0,2,3,1,2,2,2,0
Norwich,Arsenal,30,0,3,2,0,1,3,1,0,0
Swindon,Aston Villa,42,1,0,3,2,1,2,2,1,2
Tottenham,Blackburn,43,4,2,2,1,1,3,1,0,1
Oldham,Chelsea,32,14,0,3,2,3,1,1,1,0
Ipswich,Everton,22,18,1,2,2,3,1,1,0,2
Everton,Ipswich,18,22,1,1,3,2,2,1,2,0
Sheffield Weds,Leeds,37,23,1,3,1,0,2,3,3,3
Southampton,Liverpool,38,25,1,2,2,2,2,1,2,4
QPR,Man United,34,27,3,2,0,0,0,5,1,2
Wimbledon,Newcastle,48,29,1,2,2,2,1,2,0,4
Arsenal,Norwich,0,30,1,3,1,0,2,3,0,0
Chelsea,Oldham,14,32,1,1,3,2,3,0,0,1
Man United,QPR,27,34,5,0,0,0,2,3,2,1
Leeds,Sheffield Weds,23,37,3,2,0,1,3,1,3,3
Liverpool,Southampton,25,38,1,2,2,2,2,1,4,2
Aston Villa,Swindon,1,42,2,2,1,2,3,0,2,1
Blackburn,Tottenham,4,43,1,3,1,1,2,2,1,0
Newcastle,Wimbledon,29,48,2,1,2,2,2,1,4,0
Sheffield United,Coventry,36,15,0,3,2,3,2,0,0,0
Coventry,Sheffield United,15,36,0,2,3,2,3,0,0,0
West Ham,Man City,46,26,2,2,1,1,3,1,3,1
Man City,West Ham,26,46,1,3,1,1,2,2,1,3
Aston Villa,Arsenal,1,0,2,2,1,0,4,1,2,1
Arsenal,Aston Villa,0,1,1,4,0,1,2,2,1,2
QPR,Blackburn,34,4,3,1,1,0,3,2,1,0
Leeds,Chelsea,23,14,2,3,0,4,0,1,4,1
Everton,Coventry,18,15,1,1,3,3,2,0,1,2
Coventry,Everton,15,18,0,2,3,3,1,1,2,1
Sheffield Weds,Ipswich,37,22,0,4,1,2,2,1,4,1
Chelsea,Leeds,14,23,1,0,4,0,3,2,1,4
West Ham,Liverpool,46,25,2,2,1,1,2,2,0,2
Sheffield United,Norwich,36,30,0,4,1,0,2,3,1,2
Blackburn,QPR,4,34,2,3,0,1,1,3,0,1
Norwich,Sheffield United,30,36,3,2,0,1,4,0,2,1
Ipswich,Sheffield Weds,22,37,1,2,2,1,4,0,1,4
Tottenham,Southampton,43,38,1,2,2,2,2,1,0,1
Wimbledon,Swindon,48,42,0,2,3,3,2,0,3,0
Southampton,Tottenham,38,43,1,2,2,2,2,1,1,0
Liverpool,West Ham,25,46,2,2,1,1,2,2,2,0
Swindon,Wimbledon,42,48,0,2,3,3,2,0,0,3
Man United,Man City,27,26,5,0,0,1,3,1,3,2
Man City,Man United,26,27,1,3,1,0,0,5,2,3
Oldham,Newcastle,32,29,1,3,1,2,0,3,1,3
Newcastle,Oldham,29,32,3,0,2,1,3,1,3,1
Chelsea,Arsenal,14,0,0,0,5,1,4,0,0,2
Sheffield United,Aston Villa,36,1,0,4,1,1,1,3,0,1
Southampton,Blackburn,38,4,2,2,1,1,2,2,0,2
Arsenal,Chelsea,0,14,0,4,1,5,0,0,2,0
Sheffield Weds,Coventry,37,15,1,3,1,2,2,1,0,0
QPR,Everton,34,18,4,0,1,3,1,1,3,0
Swindon,Ipswich,42,22,0,2,3,3,1,1,2,2
Tottenham,Leeds,43,23,1,1,3,0,3,2,1,1
Norwich,Man City,30,26,3,2,0,2,3,0,1,1
Wimbledon,Man United,48,27,1,1,3,0,0,5,1,3
Man City,Norwich,26,30,0,3,2,0,2,3,1,1
West Ham,Oldham,46,32,2,2,1,2,2,1,2,0
Everton,QPR,18,34,1,1,3,1,0,4,0,3
Aston Villa,Sheffield United,1,36,3,1,1,1,4,0,1,0
Coventry,Sheffield Weds,15,37,1,2,2,1,3,1,0,0
Blackburn,Southampton,4,38,2,2,1,1,2,2,2,0
Ipswich,Swindon,22,42,1,1,3,3,2,0,2,2
Leeds,Tottenham,23,43,2,3,0,3,1,1,1,1
Oldham,West Ham,32,46,1,2,2,1,2,2,0,2
Man United,Wimbledon,27,48,5,0,0,3,1,1,3,1
Newcastle,Liverpool,29,25,3,0,2,0,2,3,3,0
Liverpool,Newcastle,25,29,3,2,0,2,0,3,0,3
Man City,Chelsea,26,14,0,3,2,5,0,0,0,0
Chelsea,Man City,14,26,0,0,5,2,3,0,0,0
Coventry,Blackburn,15,4,1,3,1,1,2,2,1,2
Blackburn,Coventry,4,15,2,2,1,1,3,1,2,1
Leeds,Everton,23,18,1,4,0,3,1,1,1,1
Everton,Leeds,18,23,1,1,3,0,4,1,1,1
West Ham,Arsenal,46,0,2,2,1,1,3,1,0,0
Southampton,Aston Villa,38,1,2,1,2,0,1,4,2,0
Man United,Ipswich,27,22,5,0,0,2,2,1,0,0
Ipswich,Man United,22,27,1,2,2,0,0,5,0,0
Sheffield United,Newcastle,36,29,0,3,2,2,0,3,0,4
Sheffield Weds,Oldham,37,32,1,4,0,3,1,1,3,0
Swindon,QPR,42,34,0,3,2,1,0,4,1,0
Newcastle,Sheffield United,29,36,3,0,2,2,3,0,4,0
Oldham,Sheffield Weds,32,37,1,1,3,0,4,1,0,3
Aston Villa,Southampton,1,38,4,1,0,2,1,2,0,2
QPR,Swindon,34,42,4,0,1,2,3,0,0,1
Wimbledon,Tottenham,48,43,1,1,3,3,2,0,1,1
Arsenal,West Ham,0,46,1,3,1,1,2,2,0,0
Tottenham,Wimbledon,43,48,0,2,3,3,1,1,1,1
Newcastle,Arsenal,29,0,4,0,1,1,3,1,1,2
Ipswich,Blackburn,22,4,1,2,2,1,1,3,1,0
Sheffield United,Chelsea,36,14,0,2,3,4,1,0,1,0
Man United,Coventry,27,15,4,1,0,2,2,1,1,0
Wimbledon,Everton,48,18,1,1,3,3,1,1,1,1
Blackburn,Ipswich,4,22,3,1,1,2,2,1,0,1
Swindon,Leeds,42,23,1,2,2,0,4,1,0,3
Sheffield Weds,Man City,37,26,2,3,0,2,3,0,3,1
Coventry,Man United,15,27,1,2,2,0,1,4,0,1
Arsenal,Newcastle,0,29,1,3,1,1,0,4,2,1
Oldham,Norwich,32,30,1,1,3,0,3,2,2,1
Norwich,Oldham,30,32,2,3,0,3,1,1,1,2
Tottenham,QPR,43,34,0,3,2,2,0,3,1,1
Chelsea,Sheffield United,14,36,0,1,4,3,2,0,0,1
Man City,Sheffield Weds,26,37,0,3,2,0,3,2,1,3
Leeds,Swindon,23,42,1,4,0,2,2,1,3,0
QPR,Tottenham,34,43,3,0,2,2,3,0,1,1
Everton,Wimbledon,18,48,1,1,3,3,1,1,1,1
Liverpool,Aston Villa,25,1,3,1,1,1,0,4,2,1
Aston Villa,Liverpool,1,25,4,0,1,1,1,3,1,2
West Ham,Southampton,46,38,2,2,1,2,0,3,2,0
Southampton,West Ham,38,46,3,0,2,1,2,2,0,2
Coventry,Arsenal,15,0,1,2,2,1,2,2,1,0
QPR,Aston Villa,34,1,2,1,2,2,0,3,2,2
Arsenal,Coventry,0,15,2,2,1,2,2,1,0,1
Southampton,Everton,38,18,2,0,3,2,2,1,0,1
Oldham,Ipswich,32,22,2,0,3,2,2,1,0,0
Man City,Leeds,26,23,0,2,3,0,3,2,2,3
Sheffield Weds,Liverpool,37,25,3,2,0,1,1,3,3,1
Leeds,Man City,23,26,2,3,0,3,2,0,3,2
Norwich,Man United,30,27,1,3,1,0,1,4,2,2
Tottenham,Newcastle,43,29,0,3,2,1,0,4,1,2
Man United,Norwich,27,30,4,1,0,1,3,1,2,2
Ipswich,Oldham,22,32,1,2,2,3,0,2,0,0
Aston Villa,QPR,1,34,3,0,2,2,1,2,2,2
Swindon,Sheffield United,42,36,1,1,3,3,1,1,0,0
Liverpool,Sheffield Weds,25,37,3,1,1,0,2,3,1,3
Everton,Southampton,18,38,1,2,2,3,0,2,1,0
Sheffield United,Swindon,36,42,1,1,3,3,1,1,0,0
Newcastle,Tottenham,29,43,4,0,1,2,3,0,2,1
Wimbledon,West Ham,48,46,1,2,2,1,1,3,1,2
West Ham,Wimbledon,46,48,3,1,1,2,2,1,2,1
Chelsea,Blackburn,14,4,0,1,4,2,0,3,0,2
Blackburn,Chelsea,4,14,3,0,2,4,1,0,2,0
Tottenham,Arsenal,43,0,0,3,2,2,1,2,1,1
Arsenal,Tottenham,0,43,2,1,2,2,3,0,1,1
Sheffield United,Man United,36,27,1,1,3,0,2,3,0,3
Swindon,Oldham,42,32,1,2,2,3,1,1,1,2
Man United,Sheffield United,27,36,3,2,0,3,1,1,3,0
Oldham,Swindon,32,42,1,1,3,2,2,1,2,1
Sheffield Weds,Aston Villa,37,1,4,1,0,2,1,2,2,2
Man City,Everton,26,18,0,2,3,2,2,1,1,0
Southampton,Ipswich,38,22,2,0,3,1,3,1,0,1
West Ham,Leeds,46,23,3,1,1,0,2,3,0,1
QPR,Liverpool,34,25,2,2,1,2,0,3,2,3
Everton,Man City,18,26,1,2,2,3,2,0,0,1
Liverpool,QPR,25,34,3,0,2,1,2,2,3,2
Aston Villa,Sheffield Weds,1,37,2,1,2,0,1,4,2,2
Ipswich,Southampton,22,38,1,3,1,3,0,2,1,0
Leeds,West Ham,23,46,3,2,0,1,1,3,1,0
Wimbledon,Aston Villa,48,1,1,2,2,2,2,1,1,0
Oldham,Blackburn,32,4,2,1,2,2,0,3,1,2
Ipswich,Chelsea,22,14,2,3,0,4,1,0,1,1
West Ham,Coventry,46,15,3,1,1,2,1,2,3,2
Sheffield United,Everton,36,18,1,1,3,2,2,1,0,0
Chelsea,Ipswich,14,22,0,1,4,0,3,2,1,1
Swindon,Liverpool,42,25,1,2,2,2,0,3,2,2
Tottenham,Man City,43,26,0,4,1,2,2,1,2,0
Newcastle,Man United,29,27,4,0,1,0,2,3,1,1
Man United,Newcastle,27,29,3,2,0,1,0,4,1,1
Blackburn,Oldham,4,32,3,0,2,2,1,2,2,1
Southampton,QPR,38,34,1,0,4,2,2,1,0,1
Everton,Sheffield United,18,36,1,2,2,3,1,1,0,0
QPR,Southampton,34,38,1,2,2,4,0,1,1,0
Liverpool,Swindon,25,42,3,0,2,2,2,1,2,2
Man City,Tottenham,26,43,1,2,2,1,4,0,0,2
Coventry,West Ham,15,46,2,1,2,1,1,3,2,3
Aston Villa,Wimbledon,1,48,1,2,2,2,2,1,0,1
Sheffield Weds,Arsenal,37,0,3,2,0,1,2,2,0,1
Arsenal,Sheffield Weds,0,37,2,2,1,0,2,3,1,0
Norwich,Leeds,30,23,1,3,1,0,2,3,2,1
Leeds,Norwich,23,30,3,2,0,1,3,1,1,2
Leeds,Arsenal,23,0,3,1,1,1,2,2,2,1
Man City,Blackburn,26,4,1,1,3,1,0,4,0,2
Oldham,Coventry,32,15,2,1,2,3,1,1,1,1
Newcastle,Everton,29,18,3,1,1,1,3,1,2,0
Norwich,Ipswich,30,22,2,2,1,0,3,2,1,2
Arsenal,Leeds,0,23,2,2,1,1,1,3,1,2
Tottenham,Liverpool,43,25,1,3,1,2,1,2,3,3
Blackburn,Man City,4,26,4,0,1,3,1,1,2,0
Everton,Newcastle,18,29,1,3,1,1,1,3,0,2
Ipswich,Norwich,22,30,2,3,0,1,2,2,2,1
Coventry,Oldham,15,32,1,1,3,2,1,2,1,1
Wimbledon,Sheffield United,48,36,1,2,2,2,2,1,2,0
West Ham,Sheffield Weds,46,37,3,1,1,1,1,3,0,5
Swindon,Southampton,42,38,1,2,2,4,0,1,2,1
Southampton,Swindon,38,42,1,0,4,2,2,1,1,2
